 (-0.36480513+0.34737536j)  (-0.22189027+0.015186217j)  (0.048075806-0.087672725j)  (-0.6852505-0.074121825j)  (-0.7600354-0.3519807j)  (0.11071311+0.4613242j)  (-0.43573958-0.39728275j)  (-0.9082351+0.09923867j)  (-1.0043558+0.21046233j)  (0.018921275+0.54653305j)  (-1.0264698+1.0955487j)  (-0.25854534+1.2031873j)  (-0.2759835+0.4189624j)  (-0.9642927-1.0406206j)  (0.054625113+0.55193776j)  (0.96874076+0.8800387j)  (0.23265302+0.33261082j)  (-1.5403792+0.88677144j)  (0.24913387+0.0042558513j)  (-0.056709662-0.76257807j)  (0.27582967+0.7421972j)  (1.1065419+1.1272197j)  (1.0114993+0.3726914j)  (-0.32302275-0.7481681j)  (0.80972785-0.050617732j)  (0.4140375-0.05450436j)  (0.26474604-1.1497136j)  (0.0076253014-0.04131948j)  (-1.5417154-0.32233378j)  (-0.34007236-0.7136252j)  (-0.09985943+0.08112184j)  (-0.37288985+0.22076899j)  (1.5666311-0.33223286j)  (0.38495034+0.04612866j)  (0.20031264+0.11884003j)  (0.70193744+0.19681218j)  (0.17494814-0.4888113j)  (-0.32635236+0.55748403j)  (-0.71800107+0.38240612j)  (-0.1487077+1.3596262j)  (0.7092293+1.0965494j)  (0.6339869-0.2816245j)  (-0.40277484+1.2133945j)  (0.6379917-0.40571904j)  (0.11442768+0.31391257j)  (-0.60163385+0.85319746j)  (-0.9251717+0.4706476j)  (0.16094656-0.40231287j)  (0.09114871+0.65918607j)  (0.23842013+0.33497718j)  (-0.02298773+1.0475403j)  (-0.8553076-0.62497324j)  (-0.07803579-0.01859911j)  (0.86597687+0.21463549j)  (1.0942595+1.8111271j)  (-0.23550424+0.68782574j)  (2.040393+0.85162354j)  (1.6768436+0.35605648j)  (-0.41482997-1.054803j)  (-0.60271966+1.0642788j)  (0.06015509+0.3153566j)  (1.2052535-1.8609324j)  (-0.41762903+0.25093567j)  (0.77247155+0.1562858j)
 (1.1085227+1.1887877j)  (-0.19513546-1.0418053j)  (0.025424378-0.90786225j)  (-0.69040126-0.23035914j)  (-0.64290303+0.16297604j)  (0.7611846+0.8092667j)  (-0.8799687-0.2985943j)  (0.72721434+0.44378507j)  (-0.7326741-1.1670666j)  (-0.7993582-0.13560125j)  (0.5996852-0.13048959j)  (0.4933988+0.5586362j)  (-0.118772+0.68495756j)  (-0.5587951+1.8249966j)  (-0.23657909-0.61779517j)  (0.05998192+0.25555766j)  (-0.02330435-0.9010475j)  (-0.09956702+1.944688j)  (0.2036306+0.83079934j)  (-1.540013-0.4863266j)  (-0.21414517+0.39109135j)  (0.96843946-0.40493914j)  (-0.9443561-0.18623652j)  (-0.36344635+0.4615876j)  (-0.05718756-0.5090412j)  (0.99563473+1.0899628j)  (-1.0620693+0.29404807j)  (-1.3720162-0.15949534j)  (-0.08981912-1.2222219j)  (0.69166106+0.17326902j)  (-0.08792419-0.39805427j)  (0.112594396-0.7053989j)  (0.020713704-0.02503043j)  (0.33102354-0.18190598j)  (-0.21433407-0.007821678j)  (0.089853674-0.14431758j)  (-1.2750973+0.92154354j)  (0.47833866-0.4818737j)  (0.20125918+1.2684414j)  (-0.9754998+0.45257857j)  (0.15524846+1.0540078j)  (1.3660365-0.38782704j)  (-0.008829486+0.12421649j)  (0.19329141-0.13133009j)  (1.065144-1.092182j)  (-0.28229472+0.2721667j)  (0.347771-1.1978208j)  (0.09678182-0.17994708j)  (0.47622228-0.44359726j)  (0.19481371-0.10310771j)  (-1.0407206+0.31183478j)  (0.8521957+0.36967385j)  (0.14441967-0.71609515j)  (0.080979764-1.2044457j)  (-1.2450802-0.25983942j)  (0.4716347-0.0822769j)  (-0.4421989-0.29903063j)  (0.05892859-0.08489398j)  (-0.195914+0.5829554j)  (0.027344117-0.32999158j)  (-0.3239286-0.34451458j)  (-1.0639237-1.1431149j)  (1.425718+0.66609687j)  (0.4244273-0.045371078j)
 (-0.80610305+0.76428926j)  (-0.47012305-0.15239914j)  (-0.2314503+0.5880249j)  (-0.47243544+0.5170541j)  (-0.5630574+1.2369585j)  (-0.4689681+1.1333991j)  (-0.4450881+0.93362284j)  (-0.6259947+0.35445467j)  (0.45612794-0.31873995j)  (-0.26170072-0.9523743j)  (-0.23432328+1.6062671j)  (0.61303157+0.5816163j)  (-0.4761391-0.90191036j)  (-0.22151388+0.44344464j)  (-0.16918136+0.95854646j)  (-0.49821916+0.74665785j)  (-1.0136747+1.1128635j)  (-0.40112993-0.5883441j)  (-0.09666087-0.031378906j)  (0.055948596-0.069008954j)  (0.5658483+0.55347204j)  (0.40518507-0.14036626j)  (0.11829612-0.05021851j)  (-0.07287934+0.20945063j)  (0.8485478-0.5606054j)  (0.23138523+0.44533068j)  (0.12407303-2.2006502j)  (0.08722841-0.3456634j)  (-0.41790187-0.2285651j)  (-0.6727927+0.34636253j)  (0.68300617+0.16051582j)  (0.75643086-0.32174808j)  (0.68562263+0.025183j)  (0.4942334+0.5717658j)  (0.6852208+0.64266956j)  (-0.055633806-0.6305935j)  (0.19019355+0.72323334j)  (1.4826866+0.19271941j)  (-0.93079305-0.07405228j)  (0.2358474-0.86952436j)  (-0.16484769-0.9136893j)  (-1.153115+0.6140219j)  (0.2552566-0.28561297j)  (0.65153503-0.13416734j)  (-0.5413554-0.028890422j)  (-0.9216679+2.3026593j)  (0.19229107-0.15667123j)  (0.6584345-0.65062594j)  (0.83546907+0.3084422j)  (-0.6410995-0.9653181j)  (-0.2997342+0.30828732j)  (0.4381021-0.015046109j)  (-0.07835242-0.50484884j)  (-0.22410448+1.0305185j)  (0.7231931+0.034496997j)  (-0.7030179-0.50072896j)  (-0.08480373-1.0623759j)  (0.9139531-0.4736462j)  (-0.32066947+1.0625182j)  (-0.36724392+0.26601836j)  (1.245322+1.1946838j)  (-0.97696704-0.7023666j)  (-1.5576147+1.6059421j)  (-0.31914833+0.6187327j)
 (1.046038+1.0364293j)  (-0.13607776-0.2817369j)  (-0.83135206-0.27157715j)  (-1.3781635-0.1393524j)  (0.720629-0.12383275j)  (0.5411823+1.0173459j)  (-0.6232817+0.264613j)  (0.50136846+0.37511903j)  (-0.33586964+0.71661294j)  (0.52500623+0.023449477j)  (0.5527268+0.24686794j)  (0.9267865+0.023164814j)  (1.3806436+0.11777207j)  (0.22883305-0.572106j)  (-0.044438004+0.79539067j)  (1.1807244-0.031485025j)  (-0.6339081+0.26975855j)  (-0.15342474-0.83631974j)  (-0.98224133+0.4486957j)  (1.4472262+0.9845579j)  (-0.18758085+0.51242924j)  (-0.9383377-0.80964494j)  (0.35344723+0.125062j)  (-0.19519317-0.2507461j)  (1.5706308+0.53492224j)  (0.2809942+1.5698619j)  (-0.35266024-0.7637531j)  (-0.2178799+1.0927582j)  (-0.30392274-0.24818939j)  (1.0829561-1.6808065j)  (0.50335085+0.19719456j)  (-1.735366+0.8845605j)  (0.9213063+0.20611781j)  (0.68771625+0.9906959j)  (1.0720737-0.1406988j)  (-0.97155386-0.92637837j)  (-1.0721757+1.6291258j)  (-0.10958288-0.04272432j)  (0.28794524+1.0009205j)  (0.66208726-0.28395712j)  (1.112975+0.5632252j)  (-0.85315734+0.3859123j)  (-0.9523144+0.080887444j)  (-1.1249634+0.3690846j)  (-0.12746081-1.0403156j)  (0.08410627+0.4789573j)  (0.8837162-0.9502008j)  (0.6263266-0.29205027j)  (-0.6506214+0.399554j)  (-0.40518045-1.1441509j)  (-0.0922867-0.69306785j)  (1.3485074-0.22938907j)  (-1.4503752+0.30626413j)  (0.026206627+0.97844917j)  (-0.040603284-0.6822516j)  (0.97245187+0.2939993j)  (-0.13198629+0.25966528j)  (0.3394411-0.2756867j)  (0.70840245-1.3166547j)  (-1.487803-0.29037175j)  (-0.14166573-0.17197381j)  (0.8484929+0.7224434j)  (0.47192946-0.5246944j)  (-0.6019569-1.1315577j)
 (0.44950914+0.18535465j)  (-0.61298704+0.19953439j)  (-0.15909147-0.25531065j)  (-1.2623651+0.81006914j)  (-1.7058593-0.12304328j)  (-1.1296265+0.952972j)  (0.6197543+0.47714072j)  (0.28806075+0.34264514j)  (-0.57880193+0.5848305j)  (-0.7585511-0.90235627j)  (-1.179121-0.09847655j)  (1.0561035+0.9371121j)  (1.4121217+0.23673737j)  (0.61554086-0.5430429j)  (0.5407754+0.06161754j)  (0.6384735-0.037679575j)  (0.19132684+0.0073726433j)  (-0.13780536+0.46171105j)  (-0.2951938-0.55238j)  (0.0896235-1.2621515j)  (-0.5604341-0.064060904j)  (0.13158056-0.50818795j)  (-0.20284843-1.1615716j)  (0.0514823+0.72037435j)  (0.7669848+0.91748464j)  (0.12250443-0.42063874j)  (-1.1224504-0.26089835j)  (0.049413998-0.67983466j)  (0.65165186+1.3818532j)  (-0.21118672-0.17532247j)  (-0.47634158-0.39715943j)  (0.3782977-0.35788637j)  (0.6271897-0.55886424j)  (-0.9661036+0.7895879j)  (-0.5947771-0.026895644j)  (1.2877802+1.0435841j)  (-1.0298817+0.50969774j)  (-0.08229434+0.5279715j)  (-0.12706465+1.6502624j)  (0.37187406+0.6798438j)  (0.054950207+1.1045873j)  (0.61723286-0.16254218j)  (-0.5978737-1.0394679j)  (-0.9050544-0.87141144j)  (0.19566074+0.45954722j)  (-0.49340007-1.5954137j)  (1.2049973-1.2392137j)  (0.65939015+0.32870075j)  (0.7973927-0.7210536j)  (0.03110485+0.1379176j)  (0.52008075+1.537647j)  (-0.14904435-0.41296148j)  (0.05399176+0.57767177j)  (0.034457188+0.72556674j)  (-0.5942668+0.61544746j)  (-0.73559153+0.41496396j)  (-0.5620362+0.5251078j)  (-0.1330515+0.77446914j)  (0.10415375-0.09893227j)  (-0.9539569+1.4128921j)  (0.3428441+0.688819j)  (-0.34668976+0.5486564j)  (-0.4857318+0.6768139j)  (1.2214229-0.26824024j)
 (-0.49340332-0.34791297j)  (-0.0052199564+1.0261478j)  (-0.3365661+1.3281069j)  (0.28864312+0.14134793j)  (-0.35176975+0.33935338j)  (0.28187126+0.27718225j)  (-0.110235415+0.355553j)  (-0.8816037+0.472158j)  (0.8676875+0.6454047j)  (0.25703213+0.26652357j)  (-1.2396659+0.29871306j)  (-0.82880956-0.23344144j)  (-0.07384578-0.004365586j)  (-0.57045966+0.7060569j)  (-0.4220512-0.05602374j)  (-0.40524873-0.6288329j)  (-0.80464697-0.8884723j)  (0.2984125-0.55030906j)  (0.37573507+0.21364762j)  (0.6019147+0.038698018j)  (-0.28085095-0.8510922j)  (-0.4701528+0.5457091j)  (-1.2394087-0.60954475j)  (-0.9057748-0.04778857j)  (-0.5157426-1.1266278j)  (-0.5683674-0.23335047j)  (-0.04917749-1.1008214j)  (-0.08745167+0.75430036j)  (0.35805425+0.90542984j)  (0.46632904-0.33792236j)  (0.17960203+0.53125113j)  (0.4926439-0.797734j)  (-0.46190578-1.1978608j)  (-1.034985-0.2214827j)  (0.88426614-0.12330682j)  (0.5055859+0.39185312j)  (0.66120934+0.12962152j)  (-0.927772-0.5403421j)  (-0.90450466+0.55646753j)  (-0.4107843+0.7919388j)  (-0.7195418-0.5569114j)  (-0.5713725+1.4879084j)  (-0.91615564-0.19807059j)  (-0.6548169+0.99107015j)  (-0.90880555+1.3907131j)  (-0.4057983+0.5997493j)  (0.22511294-1.093738j)  (0.064907156-0.0054161707j)  (-0.8549405+0.026906954j)  (-0.37719074+0.20182869j)  (0.06155972+0.085618496j)  (0.14680524-0.73975116j)  (-0.6194313-0.24614815j)  (-0.95594853-0.3271604j)  (0.462332+0.19159211j)  (0.025073292-0.6503025j)  (0.42557332-1.4776138j)  (-0.662649-0.47229263j)  (0.32804033-1.4089106j)  (-0.9784296+0.82046187j)  (-1.4010116+0.715876j)  (0.78600055+0.51891285j)  (0.24597457+0.67300177j)  (-1.6470629-0.5510482j)
 (-0.34714794-0.39134178j)  (0.2848139-0.54717284j)  (0.5087877-0.19095847j)  (1.2935909-0.070795916j)  (-0.5197008-0.63907206j)  (0.44272023+0.07951936j)  (0.4064659-0.67917526j)  (0.26493368-0.6883842j)  (0.98366106-0.7204157j)  (0.06354962-0.11334218j)  (-0.5554407-1.0164965j)  (-0.380948+0.6650332j)  (1.0907466-0.0696943j)  (-0.78991663-0.051197447j)  (0.15915136-1.0664369j)  (-0.29619446+0.79526305j)  (-0.06159175-1.150851j)  (0.5025354-0.9524935j)  (-0.5291047+0.017427804j)  (0.3819672-0.055246305j)  (0.68954545+0.10986641j)  (0.21562743-0.048608888j)  (0.30222496+0.68318146j)  (-0.053570557-0.30157194j)  (-0.06301625+0.46167147j)  (0.4910446+0.6541015j)  (-0.17967589-0.41520625j)  (0.11323135-0.7008129j)  (0.02174673-0.17131115j)  (0.030540306+0.09305436j)  (0.5221865+0.4740044j)  (0.23361832-0.25666407j)  (-0.3962778+0.25772145j)  (0.40549642+1.1713433j)  (-0.30450338-0.34519896j)  (-0.20054728+0.6882116j)  (0.51415974+0.4252763j)  (-0.66507876+0.55073136j)  (-1.0580871+0.17859744j)  (-0.5029794+0.71403325j)  (-0.6597895-0.37644705j)  (-0.510555-0.018034173j)  (-0.014007713-1.3866783j)  (0.38612396-0.5264547j)  (-0.14873965+0.6034083j)  (-0.037932556-0.4020937j)  (0.84098065+0.6361722j)  (0.32541552+0.7058749j)  (-0.018890323+0.31845912j)  (-0.14369719-0.47778374j)  (0.22481704-0.12669995j)  (-0.3556222+0.4681078j)  (0.036729727-0.6000755j)  (-1.5153033+0.07220366j)  (-0.80042285+0.33553663j)  (-0.09849557+0.5167928j)  (-0.4290923+0.17824985j)  (-0.43831584-0.02537419j)  (-0.5935499+0.28045171j)  (1.2168351-0.5467261j)  (0.0070774816-0.6506474j)  (0.23469989-0.022909835j)  (1.5525851+0.7661619j)  (-0.17129324+0.34137896j)
 (1.0905004+0.37761518j)  (0.7140572-0.5365761j)  (0.063458174-0.16611467j)  (0.49880183-0.63387585j)  (0.22018923+0.73530173j)  (0.66517377+0.45995167j)  (-0.42373616+1.2783338j)  (-1.7067406-0.840613j)  (-1.2033906-0.28545374j)  (-0.7231853+0.046781387j)  (0.9079174+0.8032728j)  (0.29131883+0.42791584j)  (0.29025188-0.32760286j)  (0.8856709-0.43004283j)  (0.14472231+0.13632064j)  (-1.1080902-0.13100165j)  (-0.7371898-0.39976543j)  (1.166313+0.12542118j)  (-0.41161188-0.48261383j)  (0.43440688+0.5449467j)  (-0.41208607+1.3157593j)  (0.28934413+0.5339411j)  (-0.07038875-0.37799606j)  (-1.0289415-0.53340167j)  (-0.47855127+0.4084983j)  (0.49819297-0.63742703j)  (-0.75269777-0.31350872j)  (-0.40280813-0.31583074j)  (0.7275377+0.64566815j)  (-0.7950154+1.1872933j)  (-0.66135895+0.6068155j)  (-0.7253671+0.34167057j)  (-0.48845828+0.30854604j)  (1.0280308+0.22963531j)  (-0.053027373-0.8558778j)  (0.82804656-0.37788227j)  (0.15438797+0.30543303j)  (0.10373596-0.1755616j)  (-0.37088+0.16573645j)  (0.7595587+0.68713695j)  (-1.0319489+0.4263367j)  (-0.6490079-1.029623j)  (-0.5178103-0.0796445j)  (0.9036213-1.6327584j)  (0.4419312+0.9058942j)  (-1.2197838+0.39130226j)  (-0.028899208-0.022194907j)  (0.4533146-0.06649034j)  (-0.16078384+0.88105667j)  (-0.079788454-0.3911648j)  (0.6568711-1.0351909j)  (-0.25371045+0.42623582j)  (-0.7233843+0.061646376j)  (-0.6313553+0.9283349j)  (-0.6808854-0.9131672j)  (-1.2487329+0.57046574j)  (0.44862834+0.18520345j)  (0.24842358+0.99450654j)  (0.03302068-1.4865327j)  (0.17022625-0.84690523j)  (-0.033216245-0.98907137j)  (-0.86479026-0.48210967j)  (-0.29151845-0.1089339j)  (-1.4551576+0.5013633j)
 (0.15946527+0.54658794j)  (0.27136883-0.45971543j)  (-0.43241093-1.1693383j)  (0.4655125-1.3350798j)  (0.71643007+0.5945948j)  (0.049069557+1.2675277j)  (0.0017959373-0.4817975j)  (-0.07800442+0.00020998713j)  (0.85268617+0.55533254j)  (-1.4689336-0.36536604j)  (0.935891-0.07102732j)  (-0.61472094+1.6442426j)  (0.20980456-0.024263714j)  (0.2182704-0.7502648j)  (0.7828467+0.38476944j)  (0.03338076+0.3734405j)  (1.4002072+0.66942996j)  (1.5826942-0.6164409j)  (0.25663355+0.18163885j)  (-0.31678405-1.0284082j)  (-1.8644232-1.195709j)  (0.26346228+0.69733846j)  (-0.30066958-0.4985317j)  (-0.4540261+0.32086223j)  (0.073897086+0.27581617j)  (-1.4669257+0.6615443j)  (0.1758103+0.2771367j)  (-0.3432944+0.8357133j)  (-1.2113982+0.7151946j)  (-0.7642868+0.14641286j)  (-0.42384586+0.1621993j)  (1.7390589+0.117456846j)  (-0.049770717+0.73744315j)  (-0.72203326+0.09456051j)  (-0.333999-0.25652355j)  (1.0710819+0.24245653j)  (-0.3235455-0.6251461j)  (-0.46037424-0.5329699j)  (0.5600999+1.1442232j)  (0.3859126-0.8772321j)  (-0.5567119+0.4566605j)  (1.5992624+0.5709693j)  (0.4072349-0.075788476j)  (-0.21316472-0.55611295j)  (-0.25258368-0.6247868j)  (-0.1862863-0.48530486j)  (-0.7274309-0.34503147j)  (-0.98997635-0.691769j)  (-0.19572704-0.46800825j)  (0.013364748-0.14984354j)  (1.0300153-0.28742018j)  (-0.19105467-0.50168896j)  (-0.07502196+0.019491414j)  (-0.08050423+0.5411512j)  (-0.7987665-0.5888719j)  (-0.2607184-0.95218396j)  (0.007090889+0.3432834j)  (0.657768+1.1108161j)  (0.76410687+1.8149883j)  (0.6460944-0.51618874j)  (-0.942309-0.13730328j)  (0.5531841-0.5751039j)  (0.40369022-0.44593886j)  (-1.2168237-0.61776066j)
 (0.006260419-0.37875396j)  (-1.1223389-0.51684034j)  (0.13281602-0.42122075j)  (-0.20760536-0.93042237j)  (0.4812036+0.095504485j)  (-0.21681632-0.4818781j)  (-0.26802915-1.4043909j)  (-0.8560469+0.6358074j)  (-0.7702692-1.91596j)  (0.13013577-1.4269589j)  (-0.7760631-0.66681606j)  (-0.14118221-0.49583492j)  (1.2721639+0.8356948j)  (0.2741714+0.8092276j)  (-0.88109547-0.3364324j)  (-0.13943988+0.18581909j)  (-0.46675298+0.3456645j)  (0.58587396-0.6411676j)  (-0.13880612-0.8435701j)  (-0.22914687+0.5216938j)  (0.04638144-0.08436162j)  (-1.190072+0.003024578j)  (-0.104474805+0.48844635j)  (0.20626+2.364922j)  (-1.9837906+1.2397121j)  (-0.62048423+0.1344264j)  (-0.3966072+1.9239848j)  (-0.030818282-0.11831698j)  (-0.5044774+0.38807574j)  (0.8003249+0.3283603j)  (-0.46212783-1.7310703j)  (0.7970054-0.5587317j)  (-0.7524063+0.50354135j)  (-0.17114127+0.7417637j)  (1.4922163-0.25589406j)  (0.8082748-0.10756087j)  (-0.8352328-0.82486254j)  (-0.7339586+0.9651624j)  (0.65885234+0.21837944j)  (0.2260675-0.3072706j)  (1.0403942+0.075954385j)  (1.6130738+0.30129114j)  (0.15488338+0.37039125j)  (-0.72215873-0.356122j)  (-0.07110584+0.90473306j)  (0.7740052-0.7546931j)  (-0.3785756-0.7868753j)  (0.60473245-0.11145959j)  (0.5927985+1.1895889j)  (0.62614805+0.29758552j)  (-0.2983364+0.031852845j)  (0.031884048-0.87273514j)  (0.008268397+0.3620407j)  (-1.503919+1.6724099j)  (0.19478269-0.28735644j)  (-1.1459605+0.34395215j)  (-0.81745344+0.8933714j)  (0.20777336+0.34590033j)  (0.07016689-0.12600726j)  (-1.4956857+1.5864336j)  (-0.14595465+0.3552863j)  (-0.8316683-1.4705969j)  (0.88278496+0.2837857j)  (0.13173078+0.24128379j)
 (-0.38485837-0.0950682j)  (-1.1466355+1.5247127j)  (-0.5614403-0.045476977j)  (-0.86551243-0.20832565j)  (0.54121536+0.20698026j)  (-0.4068378+0.793461j)  (0.42540246+0.17109522j)  (0.43240467+0.6719338j)  (-0.37328017+0.5359322j)  (1.7531681-0.12828396j)  (0.47282052+0.4744892j)  (0.447132+1.5737199j)  (-0.27388453+1.5170456j)  (0.708139+0.35348627j)  (-0.44704086-0.40056595j)  (-0.23188074+0.85497105j)  (0.51248693+1.2492193j)  (0.6561703-0.7735523j)  (-0.5062869-1.3407183j)  (-0.377502-0.49471974j)  (0.37534115-0.87956053j)  (0.7312629+0.10590398j)  (-1.6125928-0.34354836j)  (-0.27900907+1.6982195j)  (1.2872617-0.38520393j)  (-0.24551807-0.0949092j)  (0.4564382+0.02115035j)  (0.021089427-0.424108j)  (0.3625648+0.2598067j)  (0.6545293+0.0141111715j)  (-0.15411708+0.9927301j)  (-0.14443497+0.45348915j)  (1.7035843-0.33237994j)  (0.501412+0.3111263j)  (0.34872502-0.23218231j)  (0.72479075-0.5372176j)  (-0.85177904-0.7004413j)  (0.34252936+1.0601245j)  (1.1771041-0.8839894j)  (0.79238814-0.13443165j)  (0.499811-0.3770309j)  (0.3504424+0.5799246j)  (0.74012595+1.1531441j)  (0.27859256-0.30550835j)  (-0.5222625-1.4232618j)  (-1.1020628-1.1529166j)  (-0.54806966+1.0743965j)  (-0.16179247+0.7900094j)  (-0.7234194-0.23479952j)  (0.6787227-0.8780704j)  (0.9404731-0.10923791j)  (-0.10128762+0.33030164j)  (-0.14196299-0.28168723j)  (-0.7305336+0.8598392j)  (-0.4483815+1.0708244j)  (0.9785915-1.1206341j)  (0.06219818-1.1791937j)  (-0.9121494-0.24512191j)  (-0.38421744-0.26537225j)  (-1.6066285-0.47331762j)  (-0.55638844+0.67755777j)  (1.509327-1.3864836j)  (-0.47996598-0.5155697j)  (1.0935371+1.4587737j)
 (-0.30721596-0.86314106j)  (-0.35244706+1.4845974j)  (-0.8851037-1.3067985j)  (0.40467107+0.39220992j)  (-0.4461056-0.15896209j)  (0.089691885-0.10847738j)  (-0.15689619+0.46701905j)  (-0.23689571-1.563218j)  (0.464878+0.5662508j)  (0.095192984+0.8712835j)  (-0.9964775+0.6826117j)  (0.6332377-0.7694757j)  (0.24783641+0.08529551j)  (-0.1392308+0.14589907j)  (-0.809582-0.63195795j)  (-0.70408124-0.27895394j)  (0.20871557-0.17859986j)  (-0.03432544+0.4364003j)  (-1.0241679+0.037376642j)  (0.6107272+0.9318134j)  (-0.33522913-0.28310752j)  (0.025389517-0.2423715j)  (-0.54060465+1.5470798j)  (-0.098677635+0.07265341j)  (-0.28301343+0.5100216j)  (0.7449528-0.6277017j)  (-0.67128915-0.6581426j)  (-1.0094407+0.8501911j)  (-0.43552664+0.57335854j)  (-0.70757294+0.12343387j)  (1.2134378-1.0276102j)  (0.6344143+1.1481373j)  (0.34743646+0.12811916j)  (-1.2734905+0.7053618j)  (0.37361035+0.7303849j)  (-0.8940289-0.004135925j)  (0.17635852+0.60944444j)  (0.75682354+0.22483534j)  (0.018068202+0.11182805j)  (1.2830348-0.10963212j)  (-0.6444232-0.66041106j)  (0.002617475-0.3312968j)  (-0.19263029-0.45006338j)  (-0.006627253-0.35889128j)  (0.29120275+0.4660468j)  (0.10290386+0.09445502j)  (-0.08661219-0.68283534j)  (-0.38813493+0.19253844j)  (-0.8196317+0.59115636j)  (0.64730453-0.40503988j)  (-1.0910177-0.8079779j)  (-0.9743823-0.521669j)  (-1.3251022+0.4704914j)  (0.5703456+0.9670941j)  (0.49397534+0.16781376j)  (-0.036389444-0.8442417j)  (0.4834801+0.18955709j)  (1.385473-0.51019406j)  (0.8713939-1.1417835j)  (-0.35985547+0.49993876j)  (-1.4996287+0.71041757j)  (-1.3874553-0.210895j)  (-0.107335344-0.12163315j)  (0.06531918-0.124596715j)
 (-0.7333629-1.2077109j)  (0.38525608-1.667797j)  (-0.67800945+0.52903324j)  (-1.0412214+0.78037316j)  (0.85060406-0.38733125j)  (0.7552174+0.15990654j)  (0.6562277-0.3513065j)  (0.7347706+0.39038923j)  (0.7018558-1.1661252j)  (-0.4969639+0.98754454j)  (0.0033184346-0.27827632j)  (-0.015440366-0.91342425j)  (1.6869829-1.2430928j)  (-1.0417994+0.9180165j)  (-0.92455035+1.4654695j)  (1.3600271+0.5331675j)  (-0.7234656-0.6043527j)  (-0.64705145+0.4676167j)  (-0.2265197-0.36063346j)  (0.29033622-0.15467982j)  (0.0758603+0.5296295j)  (-0.13419165+1.6321428j)  (-0.2070913+1.3226544j)  (-0.0073465332-0.33647352j)  (1.4936334-0.42603996j)  (0.4201898+0.17785388j)  (0.922266+0.5145293j)  (-0.5864524-0.3626729j)  (0.37247327-0.18802676j)  (-0.048355557+0.45891628j)  (-0.19823623-0.43444422j)  (1.3572003+0.15674807j)  (0.7288128-1.1876659j)  (-0.58132905+1.1355679j)  (0.43912968+0.099905655j)  (-0.48218897-0.8042458j)  (-0.5005293-0.04711814j)  (-0.5141509+0.26984805j)  (-0.22902142+0.02034412j)  (1.428269+0.38099247j)  (-0.2479155-1.2201208j)  (0.58162117-1.3010375j)  (0.4294761+0.22132349j)  (-1.3524448+0.2692341j)  (-0.8691351+0.11579429j)  (1.4579015-0.4068261j)  (0.40076214-0.33727658j)  (0.6453468+0.7441654j)  (-0.6522664-1.1666718j)  (-1.3439574+0.38797548j)  (0.35394076-1.6633575j)  (0.38401076-0.44404647j)  (-0.1542782+1.4200269j)  (-0.10536474+0.42475793j)  (-1.5130794+0.27113175j)  (0.6481966-0.513543j)  (-0.65591335-1.2865707j)  (-0.79735917-0.7961489j)  (1.0778198-0.23566042j)  (-0.51130587-0.39940566j)  (1.3221779-0.06358172j)  (0.37247735-0.12503925j)  (-0.21714346-0.45623425j)  (-0.45581564-0.4994828j)
 (-0.2626644-0.062372334j)  (-0.33108854+0.73371685j)  (-1.4242477-0.62093663j)  (-0.47637907-0.4357647j)  (0.64966667+0.29863277j)  (0.21186103-0.72237396j)  (0.01628691+0.8668623j)  (-0.915806+0.39459068j)  (0.24473086-0.04890328j)  (-1.7223862+0.9181433j)  (1.6875107-0.19567394j)  (0.6321236+0.51402766j)  (-0.1601183-0.52422315j)  (0.9067724+0.7511015j)  (0.8655152-0.4785611j)  (-0.32155353+0.7680386j)  (0.7133034-0.18305978j)  (0.24320348+0.56326306j)  (0.30951795+0.40547362j)  (0.45615342-0.53538793j)  (0.29024526+1.0367378j)  (0.10301546+0.20931351j)  (0.030858729-0.29548547j)  (0.732961-0.08755446j)  (0.8646204+0.3106814j)  (-1.0894886+0.035402633j)  (-1.2008921-0.9740698j)  (-0.5275623-0.039100774j)  (0.91660124+0.66486096j)  (0.76070565+0.009976953j)  (-0.14680621-0.5975427j)  (0.5300998-1.1317929j)  (0.06530014-0.1857023j)  (0.42261478+1.0682188j)  (-0.3230199+0.77616876j)  (-1.0932266+0.54450995j)  (0.24986438-0.9218042j)  (1.00633+1.2416545j)  (-1.1122483+0.78290445j)  (-0.90667766+0.6120733j)  (-0.10866325+0.05337764j)  (-0.6648587-0.36644024j)  (-0.14572413-0.8577995j)  (-0.59976596-0.08327164j)  (0.075552285-0.6829326j)  (0.3959868-0.014756731j)  (0.5130981+0.3741095j)  (0.011909069-0.4436409j)  (-0.06956469-0.05418528j)  (-0.5323451+1.0419493j)  (0.5603525-0.14306936j)  (-0.47954127+0.608716j)  (0.22996733-0.64471036j)  (0.50257313-0.29893133j)  (-0.57973033-0.69153076j)  (-1.0493582+0.2140996j)  (0.46075216+0.39876267j)  (-1.1588261-0.6649803j)  (-0.115692295+0.07992214j)  (-0.4066273-0.87131053j)  (0.8145612+0.41302305j)  (-0.03189367+0.5259461j)  (-0.16269006+0.13698438j)  (-0.59117687-0.20078442j)
